School Code,School Year,District Code,District Name,County,School Name,TYPE,INDEX,2016 INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
5565,2019-20,17001,Seattle School District #1,King,Magnolia Elementary School,Elementary,54.6,#N/A,276,0,19,9,1,178,27,42,0.0%,6.9%,3.3%,0.4%,64.5%,9.8%,15.2%
5154,2019-20,31103,Monroe School District,Snohomish,Shoreline-Monroe High School,High,58.8,58.9,282,2,9,17,0,168,28,58,0.7%,3.2%,6.0%,0.0%,59.6%,9.9%,20.6%
5517,2019-20,17911,Impact Public Schools,King,Impact Public Schools,Elementary,67.9,#N/A,285,1,26,142,2,52,14,48,0.4%,9.1%,49.8%,0.7%,18.2%,4.9%,16.8%
5281,2019-20,17405,Bellevue School District,King,Central Educational Services,Other,70.8,71,291,0,98,15,0,110,19,49,0.0%,33.7%,5.2%,0.0%,37.8%,6.5%,16.8%
1830,2019-20,31015,Edmonds School District,Snohomish,Contracted Schools,Other,71,69,293,1,33,23,2,135,41,58,0.3%,11.3%,7.8%,0.7%,46.1%,14.0%,19.8%
3714,2019-20,17001,Seattle School District #1,King,Lowell Elementary School (Seattle),Elementary,79.2,78.2,295,2,53,84,2,65,47,42,0.7%,18.0%,28.5%,0.7%,22.0%,15.9%,14.2%
4187,2019-20,17417,Northshore School District,King,Sunrise Elementary (Northshore),Elementary,62.1,50.9,297,0,69,1,0,163,38,26,0.0%,23.2%,0.3%,0.0%,54.9%,12.8%,8.8%
3157,2019-20,17001,Seattle School District #1,King,Roxhill Elementary School,Elementary,76,75,298,0,30,99,4,46,33,86,0.0%,10.1%,33.2%,1.3%,15.4%,11.1%,28.9%
2888,2019-20,31015,Edmonds School District,Snohomish,Terrace Park Elementary,Elementary,70.2,71.4,300,0,36,20,7,144,44,49,0.0%,12.0%,6.7%,2.3%,48.0%,14.7%,16.3%
5441,2019-20,31004,Lake Stevens School District,Snohomish,Early Learning Center,Elementary,57.2,#N/A,302,1,9,13,2,186,41,50,0.3%,3.0%,4.3%,0.7%,61.6%,13.6%,16.6%
5218,2019-20,17210,Federal Way School District,King,Federal Way Public School ECEAP,Other,76.1,#N/A,302,2,39,89,13,33,23,103,0.7%,12.9%,29.5%,4.3%,10.9%,7.6%,34.1%
2437,2019-20,17001,Seattle School District #1,King,Laurelhurst Elementary School,Elementary,60.3,52.1,309,1,38,19,1,184,38,28,0.3%,12.3%,6.1%,0.3%,59.5%,12.3%,9.1%
3430,2019-20,17216,Enumclaw School District,King,Black Diamond Elementary,Elementary,43.7,45.7,312,4,4,3,1,226,15,59,1.3%,1.3%,1.0%,0.3%,72.4%,4.8%,18.9%
3581,2019-20,17001,Seattle School District #1,King,Wing Luke Elementary School,Elementary,62.5,64.7,312,0,77,171,4,28,19,13,0.0%,24.7%,54.8%,1.3%,9.0%,6.1%,4.2%
3704,2019-20,17414,Lake Washington School District,King,Keller Elementary,Elementary,62.4,63.1,313,2,29,9,0,177,48,48,0.6%,9.3%,2.9%,0.0%,56.5%,15.3%,15.3%
5370,2019-20,17401,Highline School District,King,The Learning Center,Other,71.6,73.1,314,2,38,63,8,50,12,141,0.6%,12.1%,20.1%,2.5%,15.9%,3.8%,44.9%
1789,2019-20,17210,Federal Way School District,King,Federal Way Public Academy,Middle,73.1,71.6,315,3,46,24,2,135,41,64,1.0%,14.6%,7.6%,0.6%,42.9%,13.0%,20.3%
3609,2019-20,31330,Darrington School District,Snohomish,Darrington Elementary School,Elementary,35.5,35.6,317,12,3,3,0,252,23,24,3.8%,0.9%,0.9%,0.0%,79.5%,7.3%,7.6%
3606,2019-20,31015,Edmonds School District,Snohomish,Edmonds Elementary,Elementary,44.6,52.4,318,2,13,7,1,232,34,29,0.6%,4.1%,2.2%,0.3%,73.0%,10.7%,9.1%
2270,2019-20,17401,Highline School District,King,Puget Sound Skills Center,Other,74.1,#N/A,318,8,27,57,9,96,8,113,2.5%,8.5%,17.9%,2.8%,30.2%,2.5%,35.5%
3234,2019-20,17417,Northshore School District,King,Cottage Lake Elementary,Elementary,38.3,43.4,320,1,22,2,0,248,18,29,0.3%,6.9%,0.6%,0.0%,77.5%,5.6%,9.1%
2089,2019-20,17001,Seattle School District #1,King,Martin Luther King Jr. Elementary School,Elementary,66.8,69,320,3,79,160,4,15,21,38,0.9%,24.7%,50.0%,1.3%,4.7%,6.6%,11.9%
5468,2019-20,17910,Rainier Valley Leadership Academy,King,Rainier Valley Leadership Academy,Middle,40.5,#N/A,320,1,9,243,3,6,24,34,0.3%,2.8%,75.9%,0.9%,1.9%,7.5%,10.6%
5358,2019-20,31015,Edmonds School District,Snohomish,Edmonds Career Access Program,Other,68.2,57.2,322,4,21,17,3,150,35,92,1.2%,6.5%,5.3%,0.9%,46.6%,10.9%,28.6%
2321,2019-20,17001,Seattle School District #1,King,Dunlap Elementary School,Elementary,71.9,70.3,323,0,88,126,5,2,35,67,0.0%,27.2%,39.0%,1.5%,0.6%,10.8%,20.7%
1520,2019-20,31015,Edmonds School District,Snohomish,Challenge Elementary,Elementary,63,62.4,324,0,109,12,0,160,33,10,0.0%,33.6%,3.7%,0.0%,49.4%,10.2%,3.1%
2975,2019-20,17001,Seattle School District #1,King,John Rogers Elementary School,Elementary,72.6,67,324,4,20,72,0,138,50,40,1.2%,6.2%,22.2%,0.0%,42.6%,15.4%,12.3%
2123,2019-20,17001,Seattle School District #1,King,Greenwood Elementary School,Elementary,45.3,51.9,330,0,8,21,2,239,38,22,0.0%,2.4%,6.4%,0.6%,72.4%,11.5%,6.7%
3378,2019-20,17001,Seattle School District #1,King,Graham Hill Elementary School,Elementary,78.6,78.3,330,0,59,102,5,58,39,67,0.0%,17.9%,30.9%,1.5%,17.6%,11.8%,20.3%
